Joint 0 dyn,Joint 0 lin,Joint 0 diff,Joint 1 dyn,Joint 1 lin,Joint 1 diff,Joint 2 dyn,Joint 2 lin,Joint 2 diff,Joint 3 dyn,Joint 3 lin,Joint 3 diff,Joint 4 dyn,Joint 4 lin,Joint 4 diff,Joint 5 dyn,Joint 5 lin,Joint 5 diff,Joint 6 dyn,Joint 6 lin,Joint 6 diff,Cube X dyn,Cube X lin,Cube X diff,Cube Y dyn,Cube Y lin,Cube Y diff,Cube rot dyn,Cube rot lin,Cube rot diff,Joint 0 vel dyn,Joint 0 vel lin,Joint 0 vel diff,Joint 1 vel dyn,Joint 1 vel lin,Joint 1 vel diff,Joint 2 vel dyn,Joint 2 vel lin,Joint 2 vel diff,Joint 3 vel dyn,Joint 3 vel lin,Joint 3 vel diff,Joint 4 vel dyn,Joint 4 vel lin,Joint 4 vel diff,Joint 5 vel dyn,Joint 5 vel lin,Joint 5 vel diff,Joint 6 vel dyn,Joint 6 vel lin,Joint 6 vel diff,Cube X  vel dyn,Cube X vel lin,Cube X vel diff,Cube Y vel dyn,Cube Y vel lin,Cube Y vel diff,Cube rot vel dyn,Cube rot vel lin,Cube rot vel diff
-0.12001,-0.12001,0,-0.14645,-0.14645,0,0.060009,0.060009,0,-3.00037,-3.00037,0,-7.79136e-05,-7.79136e-05,0,1.3398,1.3398,0,-4.35431e-06,-4.35431e-06,0,0.4,0.4,0,6.66134e-21,6.66134e-21,0,0,0,0,-0.00111779,-0.00111779,0,0.0806972,0.0806972,0,0.00109806,0.00109806,0,-0.0558053,-0.0558053,0,-0.0131658,-0.0131658,0,-0.0503331,-0.0503331,0,-0.000320677,-0.000320677,0,-2.77556e-19,-2.77556e-19,0,9.71445e-19,9.71445e-19,0,-2.81307e-17,-2.81307e-17,0,
-0.12001,-0.12001,0,-0.146312,-0.146312,0,0.0600114,0.0600114,0,-3.00041,-3.00041,0,-0.000156533,-0.000156533,0,1.33955,1.33955,0,4.47703e-06,4.47703e-06,0,0.4,0.4,0,8.60423e-21,8.60423e-21,0,0,0,0,-3.16824e-05,-3.16824e-05,0,0.0694326,0.0694326,0,0.00121691,0.00121691,0,-0.020745,-0.020745,0,-0.0393099,-0.0393099,0,-0.125763,-0.125763,0,0.00441567,0.00441567,0,-9.71445e-19,-9.71445e-19,0,9.71445e-19,9.71445e-19,0,7.03266e-18,7.03266e-18,0,
-0.120007,-0.120012,-5.47944e-06,-0.14619,-0.14615,4.02832e-05,0.0600163,0.0600136,-2.71414e-06,-3.00041,-3.00052,-0.000115081,-0.000239875,-0.000183127,5.67486e-05,1.33925,1.33944,0.000193115,8.85297e-06,3.87228e-06,-4.98068e-06,0.4,0.4,0,1.38778e-21,1.0551e-20,9.16323e-21,0,-5.61207e-20,-5.61207e-20,0.00162404,-0.00408516,-0.0057092,0.0606719,0.0530922,-0.00757976,0.0024578,-0.0041225,-0.0065803,0.0017638,0.0426203,0.0408565,-0.0416709,-0.162695,-0.121024,-0.147293,-0.332776,-0.185483,0.00218797,0.126548,0.12436,6.93889e-19,-9.10315e-19,-1.6042e-18,-3.60822e-18,1.05832e-18,4.66655e-18,-9.84573e-17,1.66188e-17,1.15076e-16,
-0.120001,-0.120007,-6.07235e-06,-0.146084,-0.146051,3.24612e-05,0.0600236,0.0600188,-4.829e-06,-3.00037,-3.00045,-7.70714e-05,-0.00031707,-0.000318671,-1.60102e-06,1.33896,1.339,4.1074e-05,1.10214e-05,1.76842e-05,6.66273e-06,0.4,0.4,0,-3.88578e-21,3.29792e-21,7.1837e-21,0,1.36434e-20,1.36434e-20,0.00301105,0.00272716,-0.00028389,0.0533059,0.0493836,-0.0039223,0.0036388,0.00257171,-0.00106709,0.0178393,0.036906,0.0190667,-0.0385974,-0.0677748,-0.0291774,-0.146637,-0.222593,-0.0759551,0.00108423,0.0069025,0.00581827,5.55111e-19,1.00692e-18,4.51813e-19,-2.63678e-18,-3.55219e-18,-9.15408e-19,-7.03266e-17,-1.01915e-16,-3.15886e-17,
-0.119993,-0.119998,-4.78952e-06,-0.14599,-0.145962,2.78324e-05,0.0600327,0.0600285,-4.12525e-06,-3.00031,-3.00037,-5.67536e-05,-0.000387042,-0.000400554,-1.35124e-05,1.33868,1.33866,-2.05129e-05,1.24029e-05,1.53973e-05,2.9944e-06,0.4,0.4,0,-7.21645e-21,-1.11089e-20,-3.89244e-21,0,-1.96802e-19,-1.96802e-19,0.0040276,0.00467564,0.000648048,0.0468476,0.0445421,-0.00230556,0.00453006,0.00487551,0.000345444,0.0302084,0.0403662,0.0101577,-0.0349858,-0.0409177,-0.00593191,-0.137329,-0.168063,-0.0307344,0.000690728,-0.00117115,-0.00186188,4.16334e-19,5.54026e-19,1.37693e-19,-1.66533e-18,-1.42287e-18,2.42465e-19,-7.03266e-17,-4.33385e-17,2.69881e-17,
-0.119983,-0.119987,-3.43253e-06,-0.145908,-0.145883,2.46137e-05,0.060043,0.06004,-3.00079e-06,-3.00023,-3.00028,-4.45381e-05,-0.000450934,-0.000464362,-1.34285e-05,1.33843,1.33839,-4.33566e-05,1.34903e-05,1.45725e-05,1.08218e-06,0.4,0.4,0,-9.71445e-21,-1.24928e-20,-2.77833e-21,0,-1.40653e-19,-1.40653e-19,0.00473741,0.00542124,0.000683835,0.0410798,0.0394835,-0.00159633,0.00515004,0.00570761,0.000557572,0.0401935,0.0462857,0.00609224,-0.0319459,-0.0318723,7.36257e-05,-0.125215,-0.136579,-0.0113635,0.000543732,-0.000443691,-0.000987423,4.16334e-19,4.84907e-19,6.85729e-20,-1.249e-18,-7.46249e-19,5.02751e-19,-4.92286e-17,-5.38952e-17,-4.66655e-18,
-0.119973,-0.119975,-2.36988e-06,-0.145836,-0.145814,2.20409e-05,0.0600541,0.060052,-2.04559e-06,-3.00013,-3.00017,-3.63711e-05,-0.000510037,-0.000521021,-1.09836e-05,1.33821,1.33816,-4.95133e-05,1.44227e-05,1.48734e-05,4.50641e-07,0.4,0.4,0,-1.16573e-20,-1.30485e-20,-1.39111e-21,0,-1.40569e-19,-1.40569e-19,0.00522343,0.0057581,0.000534671,0.0358978,0.0346241,-0.00127366,0.0055644,0.00603943,0.000475028,0.0484944,0.0525608,0.00406647,-0.0295518,-0.0282957,0.00125605,-0.112798,-0.115821,-0.00302252,0.000466201,0.000118358,-0.000347843,1.38778e-19,3.53348e-20,-1.03443e-19,-9.71445e-19,-9.60175e-19,1.127e-20,-1.2326e-32,-3.75555e-17,-3.75555e-17,
-0.119962,-0.119963,-1.6265e-06,-0.145773,-0.145754,1.98019e-05,0.0600658,0.0600644,-1.36055e-06,-3.00002,-3.00005,-3.04289e-05,-0.000565461,-0.000574038,-8.57702e-06,1.33801,1.33796,-4.86452e-05,1.52527e-05,1.55118e-05,2.59044e-07,0.4,0.4,0,-1.36002e-20,-1.41581e-20,-5.57887e-22,0,-9.82604e-20,-9.82604e-20,0.00556207,0.00593682,0.000374744,0.0312403,0.0301321,-0.0011082,0.00584227,0.0061832,0.00034093,0.0555215,0.0584773,0.00295575,-0.0277117,-0.0264748,0.0012369,-0.101093,-0.100609,0.000484614,0.000414987,0.00028774,-0.000127247,-1.38778e-19,5.28348e-20,1.91613e-19,-9.71445e-19,-1.01275e-18,-4.13006e-20,1.40653e-17,1.27417e-17,-1.32358e-18,
-0.11995,-0.119951,-1.11291e-06,-0.145719,-0.145702,1.77723e-05,0.0600778,0.0600769,-8.85543e-07,-2.9999,-2.99993,-2.58252e-05,-0.000617869,-0.000624668,-6.79884e-06,1.33782,1.33778,-4.50177e-05,1.59692e-05,1.61866e-05,2.17385e-07,0.4,0.4,0,-1.55431e-20,-1.5547e-20,-3.88578e-24,0,5.62613e-23,5.62613e-23,0.00579169,0.00605709,0.000265398,0.0270648,0.0260591,-0.00100565,0.00601941,0.00626375,0.000244345,0.0615321,0.0638293,0.00229717,-0.0262041,-0.0254161,0.000787994,-0.0904681,-0.0886174,0.00185073,0.000358236,0.000453729,9.54926e-05,-9.71445e-19,-1.11889e-19,8.59556e-19,-9.71445e-19,-9.77873e-19,-6.42818e-21,5.62613e-17,1.19817e-17,-4.42796e-17,
-0.119938,-0.119939,-7.4049e-07,-0.145673,-0.145657,1.59059e-05,0.0600901,0.0600895,-5.4326e-07,-2.99977,-2.99979,-2.21043e-05,-0.00066774,-0.000673391,-5.65067e-06,1.33766,1.33762,-4.05057e-05,1.65804e-05,1.68004e-05,2.19962e-07,0.4,0.4,0,-1.58207e-20,-1.74899e-20,-1.66922e-21,0,2.82994e-20,2.82994e-20,0.00594436,0.00613351,0.000189151,0.0233332,0.0224084,-0.000924771,0.00612629,0.00629761,0.000171317,0.0667088,0.0685586,0.00184985,-0.0249358,-0.0243401,0.000595709,-0.0810001,-0.0787066,0.00229354,0.000305609,0.0002886,-1.7009e-05,-6.93889e-19,-1.32214e-18,-6.2825e-19,-1.38778e-19,-9.44599e-19,-8.05821e-19,5.62613e-17,4.59671e-17,-1.02942e-17,
